Wall time,Step,Value
1540781692,20,0.636287272
1540781692,44,0.767507553
1540781692,47,0.840610087
1540781692,58,0.875561655
1540781693,73,0.894420743
1540781693,96,0.897849143
1540781694,157,0.921240747
1540781694,160,0.911381364
1540781694,169,0.907760262
1540781695,231,0.901508451
1540781695,236,0.904571116
1540781695,257,0.906847537
1540781695,269,0.905454218
1540781695,275,0.91625303
1540781696,310,0.912257016
1540781696,312,0.912678182
1540781696,320,0.899790883
1540781696,349,0.900973439
1540781697,369,0.931814194
1540781697,423,0.90754199
1540781698,444,0.902143657
1540781698,462,0.909746885
1540781698,476,0.90368396
1540781699,538,0.91148597
1540781700,565,0.901012242
1540781700,581,0.901964426
1540781700,588,0.908003509
1540781700,589,0.909390688
1540781700,622,0.917447925
1540781701,636,0.908722103
1540781701,649,0.907824993
1540781701,663,0.904993057
1540781701,673,0.911849201
1540781702,716,0.909334421
1540781702,724,0.91198051
1540781702,732,0.911218405
1540781702,767,0.896246672
1540781703,771,0.899546206
1540781703,773,0.913007438
1540781703,787,0.912329435
1540781703,789,0.914299309
1540781703,796,0.90888828
1540781703,804,0.918953478
1540781703,810,0.917000711
1540781703,838,0.921041667
1540781705,947,0.923300266
1540781705,964,0.927802503
1540781706,973,0.926788867
1540781706,974,0.921609998
1540781706,980,0.920028865
1540781706,986,0.929458678
1540781706,1004,0.910751343
1540781706,1007,0.915484607
1540781706,1016,0.915298283
1540781707,1065,0.9317801
1540781707,1068,0.919955194
1540781707,1074,0.927993
1540781707,1080,0.919550598
1540781707,1095,0.910539985
1540781707,1101,0.921380758
1540781707,1106,0.924100518
1540781708,1158,0.91759783
1540781708,1163,0.923380911
1540781708,1164,0.921667814
1540781709,1182,0.927527905
1540781709,1195,0.943541586
1540781709,1246,0.951469123
1540781710,1263,0.957428038
1540781710,1318,0.951674223
1540781711,1321,0.94672364
1540781711,1335,0.950237334
1540781711,1339,0.955055416
1540781712,1387,0.956648052
1540781712,1394,0.950152338
1540781712,1416,0.954170585
1540781712,1428,0.939089358
1540781712,1438,0.953359902
1540781713,1468,0.968487501
1540781713,1479,0.965391994
1540781713,1487,0.960565567
1540781713,1493,0.964705765
1540781714,1525,0.962473154
1540781714,1554,0.959106266
1540781714,1570,0.97093302
1540781714,1586,0.965296209
1540781715,1590,0.957313657
1540781715,1607,0.958347023
1540781715,1642,0.963230431
1540781716,1684,0.961342275
1540781716,1693,0.954743505
1540781717,1704,0.954638898
1540781717,1711,0.958056688
1540781717,1720,0.961983681
1540781717,1734,0.9556337
1540781717,1736,0.956875801
1540781717,1739,0.961046815
1540781718,1783,0.970687568
1540781719,1828,0.965676188
1540781719,1846,0.961808264
1540781720,1855,0.968294501
1540781720,1868,0.962279558
1540781720,1871,0.961376846
1540781720,1879,0.955825448
1540781721,1919,0.964088261
1540781721,1936,0.961991012
1540781722,1946,0.9614259
1540781722,1949,0.962457597
1540781722,1969,0.962397695
1540781722,2003,0.96261996
1540781723,2015,0.970244586
1540781723,2038,0.959848523
1540781724,2075,0.963872313
1540781724,2078,0.965631664
1540781724,2079,0.967505991
1540781724,2087,0.962534249
1540781724,2091,0.967343748
1540781724,2098,0.968523979
1540781725,2151,0.965345085
1540781725,2158,0.95957911
1540781725,2167,0.960425615
1540781726,2189,0.957620084
1540781726,2193,0.960338295
1540781726,2201,0.959833324
1540781726,2209,0.964091837
