Wall time,Step,Value
1540781692,20,3.545562983
1540781692,44,2.306910992
1540781692,47,2.201117277
1540781692,58,2.194710016
1540781693,73,1.884287596
1540781693,96,1.982131362
1540781694,157,1.99737525
1540781694,160,1.890012264
1540781694,169,1.83290422
1540781695,231,1.884264112
1540781695,236,1.929734945
1540781695,257,1.961288929
1540781695,269,1.850418329
1540781695,275,1.946467757
1540781696,310,1.966490865
1540781696,312,1.978082061
1540781696,320,2.046230316
1540781696,349,1.969913483
1540781697,369,2.007098198
1540781697,423,1.908397913
1540781698,444,1.750302553
1540781698,462,1.843797088
1540781698,476,1.836832404
1540781699,538,2.053030729
1540781700,565,2.010740519
1540781700,581,1.974912882
1540781700,588,2.022406578
1540781700,589,2.07490921
1540781700,622,1.882147312
1540781701,636,1.904236674
1540781701,649,2.021146059
1540781701,663,1.95116508
1540781701,673,1.952149272
1540781702,716,1.807928324
1540781702,724,2.004100084
1540781702,732,1.86864233
1540781702,767,1.765606761
1540781703,771,1.714487433
1540781703,773,1.836813569
1540781703,787,1.827532172
1540781703,789,1.925078988
1540781703,796,1.840637922
1540781703,804,1.900675058
1540781703,810,1.889148355
1540781703,838,1.97655797
1540781705,947,1.939338803
1540781705,964,1.959153414
1540781706,973,1.819683433
1540781706,974,1.806951523
1540781706,980,1.728846431
1540781706,986,1.695723653
1540781706,1004,1.815498233
1540781706,1007,1.883464813
1540781706,1016,1.936337709
1540781707,1065,1.926938295
1540781707,1068,1.896562576
1540781707,1074,1.94250679
1540781707,1080,1.877772927
1540781707,1095,1.857273698
1540781707,1101,1.974231482
1540781707,1106,1.926760674
1540781708,1158,2.033183813
1540781708,1163,2.04945159
1540781708,1164,2.074637651
1540781709,1182,1.934890985
1540781709,1195,1.906361341
1540781709,1246,1.843007803
1540781710,1263,1.96966958
1540781710,1318,1.93887949
1540781711,1321,2.064570665
1540781711,1335,1.797987461
1540781711,1339,2.040201187
1540781712,1387,2.057544231
1540781712,1394,2.043062687
1540781712,1416,2.084699392
1540781712,1428,1.8899014
1540781712,1438,1.949244499
1540781713,1468,1.78401792
1540781713,1479,1.831771135
1540781713,1487,1.98590827
1540781713,1493,1.803660393
1540781714,1525,1.906578422
1540781714,1554,1.802173257
1540781714,1570,1.672405362
1540781714,1586,1.772982597
1540781715,1590,1.872020245
1540781715,1607,1.875801682
1540781715,1642,1.985339761
1540781716,1684,1.825044155
1540781716,1693,1.75613296
1540781717,1704,1.791869283
1540781717,1711,2.05019927
1540781717,1720,1.979449272
1540781717,1734,2.058875084
1540781717,1736,2.116268396
1540781717,1739,2.161307335
1540781718,1783,2.053766966
1540781719,1828,1.962825775
1540781719,1846,1.871368527
1540781720,1855,1.76474297
1540781720,1868,1.819355249
1540781720,1871,1.863415003
1540781720,1879,1.805908203
1540781721,1919,1.793728232
1540781721,1936,2.056874514
1540781722,1946,2.032063246
1540781722,1949,2.206877232
1540781722,1969,1.966053009
1540781722,2003,1.823316693
1540781723,2015,1.742027998
1540781723,2038,1.86492312
1540781724,2075,1.929672956
1540781724,2078,1.831141591
1540781724,2079,1.859780431
1540781724,2087,1.938397765
1540781724,2091,2.069687843
1540781724,2098,2.076921463
1540781725,2151,1.862950325
1540781725,2158,1.883519888
1540781725,2167,2.032535315
1540781726,2189,1.841503263
1540781726,2193,1.827174425
1540781726,2201,1.913026452
1540781726,2209,1.783568382
1540781726,2213,1.751931667
1540781726,2233,1.845127463
1540781727,2238,1.908623934
1540781727,2239,1.865591526
1540781727,2244,1.916947007
1540781727,2259,1.759040833
1540781727,2264,1.711225748
1540781727,2283,1.843133211
1540781728,2299,1.917877197
1540781728,2309,2.151960373
1540781728,2321,2.045786619
1540781729,2347,1.871293902
1540781729,2356,2.01345396
1540781730,2391,1.864437342
1540781730,2392,1.824403524
1540781730,2394,1.817910552
1540781731,2438,1.964973569
1540781731,2446,1.903760791
1540781731,2455,1.79429698
1540781732,2457,1.774941683
1540781732,2462,1.942560077
1540781732,2487,1.87664175
1540781732,2488,1.87365222
1540781732,2498,1.796362162
1540781732,2500,1.821038008
1540781732,2505,1.999467134
1540781733,2519,1.989920259
1540781733,2525,1.988811612
1540781733,2534,1.909297228
1540781734,2549,1.766365528
1540781734,2555,1.739435196
1540781735,2608,1.701096654
1540781737,2687,1.958021641
1540781737,2692,1.893662572
1540781737,2705,1.851907969
1540781738,2742,1.90491569
1540781738,2756,2.009801388
1540781739,2791,1.900250077
1540781741,2874,2.046800613
1540781741,2898,1.897032142
1540781742,2922,1.908338189
1540781743,2969,1.767894268
1540781743,2977,1.86515677
1540781744,3013,1.827263951
1540781744,3032,1.83048296
1540781745,3040,1.781084061
1540781745,3043,1.996731758
1540781746,3101,1.89727807
1540781746,3157,1.719730377
1540781747,3163,1.773339391
1540781747,3179,1.99917531
1540781747,3197,1.870100856
1540781747,3198,1.897225499
1540781748,3232,1.8001616
1540781748,3242,1.89527452
1540781748,3245,1.92868197
1540781748,3246,1.953244448
1540781748,3248,1.908216953
1540781748,3249,1.948892355
1540781749,3274,1.830667019
1540781749,3307,1.851640821
1540781750,3347,1.912145615
1540781751,3378,1.833085418
1540781752,3405,2.042457104
1540781752,3410,2.02649045
1540781752,3432,1.830433249
1540781753,3451,1.684040308
1540781753,3466,2.069796085
1540781753,3482,1.765603662
1540781754,3511,1.892996669
1540781754,3514,1.955647111
1540781755,3539,1.811787605
1540781757,3602,1.983923078
1540781757,3620,1.881302953
1540781757,3622,1.832545519
1540781757,3624,1.873012185
1540781757,3630,1.964704514
1540781758,3658,1.836654544
1540781758,3672,1.913583994
1540781759,3728,1.839266896
1540781759,3732,1.908931851
1540781760,3743,1.791184425
1540781761,3795,1.832233191
1540781762,3816,2.014532328
1540781762,3821,1.946660876
1540781762,3823,1.85855937
1540781762,3833,2.068977118
1540781763,3866,1.767866611
1540781764,3878,1.94675374
1540781765,3930,1.855026126
1540781765,3941,2.061515331
1540781765,3958,2.098465919
1540781766,3986,1.992110968
1540781767,4024,1.952618122
1540781767,4035,1.919381499
1540781767,4038,1.883246899
1540781769,4095,1.827802181
1540781769,4100,1.832986832
1540781769,4111,1.895312428
1540781771,4184,2.016337872
1540781771,4195,1.789172888
1540781771,4196,1.778294683
1540781771,4198,1.777870655
1540781771,4203,1.833006263
1540781771,4204,1.845993042
1540781772,4229,1.836617947
1540781772,4234,1.86073482
1540781772,4237,1.847850919
1540781772,4245,1.976118445
1540781772,4265,2.008233547
1540781772,4268,1.894864678
1540781773,4284,1.967308044
1540781773,4306,1.972383499
1540781773,4319,1.785372734
1540781774,4321,1.809954643
1540781775,4371,1.905498385
1540781776,4395,1.728681326
1540781776,4402,1.820873737
1540781776,4408,1.769602776
1540781776,4432,2.04726696
1540781777,4435,2.002504349
1540781778,4494,2.018459797
1540781778,4511,2.060385942
1540781779,4532,1.816840172
1540781780,4580,1.828198671
1540781780,4583,1.829061389
1540781780,4599,1.837984443
1540781781,4630,1.907135725
